,25,50,75,100
resampled_1.nex,40,66.67,20,20
resampled_2.nex,33.33,14.29,17.39,16.67
resampled_3.nex,50,50,20.83,20
resampled_5.nex,50,25,33.33,12.5
resampled_6.nex,25,16.67,33.33,33.33
resampled_7.nex,50,33.33,33.33,33.33
resampled_8.nex,50,40,33.33,25
resampled_9.nex,66.67,25,25,7.14
resampled_10.nex,16.67,25,0,10
