,25,50,75,100
resampled_1.nex,0.21,0.07,0.57,0.57
resampled_2.nex,0.14,0.43,1.36,0.36
resampled_3.nex,0.14,0.07,1.36,0.29
resampled_5.nex,0.14,0.21,0.14,0.5
resampled_6.nex,0.21,0.36,0.14,0.14
resampled_7.nex,0.14,0.14,0.14,0.14
resampled_8.nex,0.07,0.21,0.14,0.21
resampled_9.nex,0.07,0.43,0.21,0.93
resampled_10.nex,0.36,0.21,0.21,0.64
