"statistic","percentage_matches","percentage_matches_excl_single_samples","percentage_single_sample_GMYC_species","oversplitting_ratio","oversplitting_ratio_excl_single_sample_spp"
"Average",52.82,40.92,20.5,0.71,0.57
"Standard deviation",10.4,9.59,9.19,0.72,0.54
"Minimum",40,25,7.14,0.21,0.14
"Maximum",66.67,57.14,33.33,2.64,1.93
