,25,50,75,100
resampled_1.nex,40,66.67,40,50
resampled_2.nex,33.33,42.86,56.52,50
resampled_3.nex,50,50,50,40
resampled_5.nex,50,50,66.67,62.5
resampled_6.nex,50,50,66.67,66.67
resampled_7.nex,50,66.67,66.67,66.67
resampled_8.nex,50,60,66.67,50
resampled_9.nex,66.67,62.5,50,42.86
resampled_10.nex,33.33,50,33.33,40
