,25,50,75,100
resampled_1.nex,5,3,10,9
resampled_2.nex,3,7,23,6
resampled_3.nex,4,2,24,5
resampled_5.nex,4,4,3,8
resampled_6.nex,4,6,3,3
resampled_7.nex,4,3,3,3
resampled_8.nex,2,5,3,4
resampled_9.nex,3,8,4,14
resampled_10.nex,6,4,3,10
