"filename","clusters","entities"
"resampled_1.nex",8,10
"resampled_2.nex",19,23
"resampled_3.nex",19,24
"resampled_5.nex",2,3
"resampled_6.nex",2,3
"resampled_7.nex",2,3
"resampled_8.nex",2,3
"resampled_9.nex",3,4
"resampled_10.nex",3,3
