,25,50,75,100
resampled_1.nex,0.36,0.21,0.71,0.71
resampled_2.nex,0.21,0.5,1.64,0.43
resampled_3.nex,0.29,0.14,1.71,0.36
resampled_5.nex,0.29,0.29,0.21,0.57
resampled_6.nex,0.29,0.43,0.21,0.21
resampled_7.nex,0.29,0.21,0.21,0.21
resampled_8.nex,0.14,0.36,0.21,0.29
resampled_9.nex,0.21,0.57,0.29,1
resampled_10.nex,0.43,0.29,0.21,0.71
