#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:resampled_6" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:resampled_6" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:resampled_6" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.resampled_6" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:resampled_6" name="distribution" x="@birthRate.t:resampled_6">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:resampled_6" name="distribution">
#            <parameter id="rateAC.s:resampled_6" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:resampled_6" name="distribution">
#            <parameter id="rateAG.s:resampled_6" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:resampled_6" name="distribution">
#            <parameter id="rateAT.s:resampled_6" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:resampled_6" name="distribution">
#            <parameter id="rateCG.s:resampled_6" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:resampled_6" name="distribution">
#            <parameter id="rateGT.s:resampled_6" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.4" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@resampled_6" id="treeLikelihood.resampled_6" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:resampled_6">
#            <siteModel id="SiteModel.s:resampled_6" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:resampled_6" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:resampled_6" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:resampled_6" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:resampled_6" rateAC="@rateAC.s:resampled_6" rateAG="@rateAG.s:resampled_6" rateAT="@rateAT.s:resampled_6" rateCG="@rateCG.s:resampled_6" rateGT="@rateGT.s:resampled_6" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:resampled_6" lower="0.0" name="rateCT" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:resampled_6" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:resampled_6" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:resampled_6" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:resampled_6" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-3410.88223206587	-3389.485238182576	-21.39699388329431	-3389.485238182576	1.3849673428965628	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25	-5.492294245759147	1.0
1000	-1049.2395843980817	-1090.799951310856	41.56036691277417	-1090.799951310856	0.014312434764008846	1.0	1.3738333365874025	0.9888624472243754	1.0	1.0	0.25	0.25	0.25	0.25	57.77372906817759	14.791914317888116
2000	-993.774166306472	-1082.3727074485366	88.59854114206462	-1082.3727074485366	0.00932182129663703	0.8657519634574917	1.3738333365874025	1.0973568937722975	1.0843742843887414	1.0	0.25	0.25	0.25	0.25	104.85666862758407	394.6305209248182
3000	-981.6432540084298	-1066.995555206295	85.35230119786517	-1066.995555206295	0.012793787414188093	0.8657519634574917	1.753223092135744	1.0973568937722975	0.9494815059409631	1.0	0.25	0.25	0.25	0.25	101.72136708383799	294.6987142811793
4000	-966.4077964319947	-1054.8251114235984	88.4173149916037	-1054.8251114235984	0.013099925867781996	1.450286332924981	1.3245176799897345	1.0973568937722975	0.7317330646773416	0.7890990907056785	0.25	0.2499360529204211	0.2500639470795789	0.25	104.53177347996292	306.2014109226295
5000	-965.1728092185347	-1052.5413879754167	87.36857875688196	-1052.5413879754167	0.017791402432146223	1.6080609108445576	1.6183236248190673	1.0973568937722975	0.6716247709170917	0.5381181983170916	0.24897821395286776	0.2499360529204211	0.2510857331267111	0.25	103.32572287628888	309.55281730263897
6000	-970.0012451196167	-1054.8730411611994	84.87179604158271	-1054.8730411611994	0.014608794998095646	1.6080609108445576	1.6183236248190673	1.0973568937722975	0.6716247709170917	0.5584661960071867	0.24897821395286776	0.24884548539982432	0.2510857331267111	0.2510905675205968	100.86623502279465	242.7558395693246
7000	-959.7902864963428	-1049.9369126460667	90.14662614972393	-1049.9369126460667	0.013386829500985135	1.6080609108445576	1.6183236248190673	0.3241560358489488	0.6716247709170917	0.5793872611628001	0.24897821395286776	0.24884548539982432	0.2510857331267111	0.2510905675205968	104.94231229582584	289.0396179540597
8000	-953.7384561120014	-1045.0317527523302	91.29329664032883	-1045.0317527523302	0.019322465144974633	1.487767742078799	1.6183236248190673	0.2826601402211049	0.3733429535377483	0.5793872611628001	0.23976614133939173	0.24884548539982432	0.2602978057401872	0.2510905675205968	105.28113810257187	329.21957678437053
9000	-960.6445692284767	-1046.160757717251	85.51618848877436	-1046.160757717251	0.020625690407951734	1.487767742078799	1.6183236248190673	0.2826601402211049	0.25563232101860867	0.31059484835889106	0.23976614133939173	0.24884548539982432	0.2602978057401872	0.2510905675205968	98.51325254710424	244.1820261112532
10000	-956.2720086534946	-1046.6927991959053	90.42079054241074	-1046.6927991959053	0.013631993810209285	1.487767742078799	1.2603570836365234	0.2826601402211049	0.34862572466705916	0.31059484835889106	0.23976614133939173	0.24884548539982432	0.2602978057401872	0.2510905675205968	103.46650548786275	338.4849579477368
11000	-951.5589759048448	-1045.1488588139352	93.58988290909048	-1045.1488588139352	0.013218571483142812	1.487767742078799	1.2088925310022556	0.1885677866720243	0.34862572466705916	0.5265958822424432	0.23235694135096843	0.2443985516891729	0.26741386152474594	0.2558306454351127	106.72260818980617	346.9028897152562
12000	-959.5917746089754	-1044.559966517005	84.96819190802967	-1044.559966517005	0.015042108395669234	2.2934068016159292	1.2088925310022556	0.19008812906176317	0.47403038508712253	0.2949375385809509	0.23403879750980885	0.24271669553033248	0.26741386152474594	0.2558306454351127	98.33098251792781	273.8403384690571
13000	-957.2086730715985	-1049.4245868131095	92.21591374151106	-1049.4245868131095	0.014057911871974336	2.2934068016159292	0.6599697564339204	0.20120959544751282	0.25454751539657533	0.2949375385809509	0.23403879750980885	0.24271669553033248	0.26741386152474594	0.2558306454351127	104.41874107575005	333.1833183870378
14000	-961.7418421487856	-1048.623261423727	86.8814192749413	-1048.623261423727	0.013469903306559486	2.2934068016159292	0.6599697564339204	0.20120959544751282	0.2543388805252938	0.2949375385809509	0.23101452193464195	0.2457409711054994	0.27567849388238697	0.2475660130774717	99.08344677757606	247.8890368574983
15000	-950.150110365919	-1040.3902527752828	90.24014240936378	-1040.3902527752828	0.018511483929037637	2.2934068016159292	0.6412073787662979	0.1867488773893833	0.2543388805252938	0.16288047757376192	0.23101452193464195	0.2457409711054994	0.27567849388238697	0.2475660130774717	101.76426819948766	212.26079814039724
16000	-951.262238155325	-1038.864207713663	87.60196955833808	-1038.864207713663	0.015068417655017971	1.4644896036969475	0.7265992766067932	0.27082531270556837	0.2543388805252938	0.16288047757376192	0.22842829641273832	0.2386231800585894	0.2825639011824747	0.2503846223461975	99.10167066151072	164.79527334941
17000	-943.8762438673651	-1037.6102031750513	93.73395930768613	-1037.6102031750513	0.015697377336862564	0.8243035034247462	0.6707929492094258	0.2250082240955327	0.2543388805252938	0.1457196848531814	0.22472516797771466	0.24232630849361306	0.2825639011824747	0.2503846223461975	104.25681224149196	342.23533748389855
