#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:resampled_1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:resampled_1" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:resampled_1" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.resampled_1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:resampled_1" name="distribution" x="@birthRate.t:resampled_1">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:resampled_1" name="distribution">
#            <parameter id="rateAC.s:resampled_1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:resampled_1" name="distribution">
#            <parameter id="rateAG.s:resampled_1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:resampled_1" name="distribution">
#            <parameter id="rateAT.s:resampled_1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:resampled_1" name="distribution">
#            <parameter id="rateCG.s:resampled_1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:resampled_1" name="distribution">
#            <parameter id="rateGT.s:resampled_1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.4" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@resampled_1" id="treeLikelihood.resampled_1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:resampled_1">
#            <siteModel id="SiteModel.s:resampled_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:resampled_1" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:resampled_1" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:resampled_1" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:resampled_1" rateAC="@rateAC.s:resampled_1" rateAG="@rateAG.s:resampled_1" rateAT="@rateAT.s:resampled_1" rateCG="@rateCG.s:resampled_1" rateGT="@rateGT.s:resampled_1" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:resampled_1" lower="0.0" name="rateCT" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:resampled_1" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:resampled_1" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:resampled_1" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:resampled_1" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-3621.3662878321475	-3600.626660860316	-20.73962697183144	-3600.626660860316	0.6876316802165963	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25	-4.83492733429628	1.0
1000	-1147.0079575263533	-1291.819049723552	144.81109219719892	-1291.819049723552	0.015068523409082313	0.8484230118358309	1.179739005170163	0.8810041958247992	1.0	0.7022614814046831	0.25	0.25	0.25	0.25	160.21268385158834	42.10603173932791
2000	-1040.880109677351	-1250.1120698299892	209.2319601526382	-1250.1120698299892	0.007950399069108459	0.9470166894687465	2.1151250433969038	0.6174328811487075	1.0	0.7022614814046831	0.25464118890879267	0.24535881109120733	0.2522497383200036	0.24775026167999645	224.98517609367653	403.5211985525226
3000	-1021.1977178504909	-1230.30635268322	209.10863483272905	-1230.30635268322	0.006961911714103341	0.9470166894687465	2.1151250433969038	0.4772922182174552	1.0	0.7022614814046831	0.25464118890879267	0.24535881109120733	0.24967605150696806	0.25032394849303197	224.6032673318979	431.8401325975943
4000	-1001.4634520663633	-1214.5959577983674	213.13250573200418	-1214.5959577983674	0.0067453992163467955	0.5470980343344641	1.8988599872727296	0.4260469789378581	0.5360923119943689	0.7022614814046831	0.25464118890879267	0.24647632799389146	0.24855853460428393	0.25032394849303197	227.20091952620186	616.0963485777328
5000	-972.6091491266213	-1196.7069452365597	224.09779610993837	-1196.7069452365597	0.0059648275115343295	0.5470980343344641	0.7626308928213514	0.4260469789378581	0.5360923119943689	0.7022614814046831	0.25464118890879267	0.24647632799389146	0.24855853460428393	0.25032394849303197	237.24277536859503	434.0619741677214
6000	-973.4418830615398	-1188.2474939200463	214.80561085850647	-1188.2474939200463	0.00806511242133648	0.5470980343344641	0.8088360968395012	0.39948562173284496	0.5360923119943689	0.7022614814046831	0.25464118890879267	0.24647632799389146	0.24855853460428393	0.25032394849303197	227.9449720217788	505.2487729028392
7000	-925.7371183110072	-1149.1244249693966	223.38730665838938	-1149.1244249693966	0.01228645849422784	0.9760473659384634	0.8234656810344082	0.39948562173284496	0.5360923119943689	0.44473181678440504	0.25081581110428836	0.24647632799389146	0.2523839124087882	0.25032394849303197	236.67751686340804	459.77984957514394
8000	-942.2717433330563	-1152.5402787587877	210.2685354257314	-1152.5402787587877	0.01244075598988921	0.9760473659384634	0.919633119349736	0.39948562173284496	0.34548002429858343	0.3134363717279158	0.25081581110428836	0.24647632799389146	0.2523839124087882	0.25032394849303197	222.88650923765528	337.4894621641622
9000	-929.3396761471902	-1148.8470874138318	219.50741126664155	-1148.8470874138318	0.009596279080513198	0.9760473659384634	0.2800929671678158	0.30637978912044506	0.34548002429858343	0.3134363717279158	0.25081581110428836	0.250417866751873	0.24844237365080668	0.25032394849303197	230.70260223025798	414.21819116281705
10000	-922.692304249296	-1146.180440617317	223.48813636802095	-1146.180440617317	0.01175555355361816	0.9760473659384634	0.26453652962206675	0.30637978912044506	0.27069737200866184	0.3134363717279158	0.25081581110428836	0.250417866751873	0.24844237365080668	0.25032394849303197	234.38904946254078	452.1340246718533
11000	-922.3387727761755	-1141.3661139700419	219.0273411938664	-1141.3661139700419	0.01359915019661464	0.5120444681141811	0.4525133337426615	0.30637978912044506	0.21157909334884473	0.3134363717279158	0.2443021327149992	0.250417866751873	0.25495605204009586	0.25032394849303197	229.54840986958234	441.6277640003968
12000	-931.7341241641934	-1145.0411438448705	213.30701968067712	-1145.0411438448705	0.01574494946555849	0.5120444681141811	0.37352995130732175	0.30637978912044506	0.15431488685503264	0.3134363717279158	0.2443021327149992	0.250417866751873	0.25495605204009586	0.25032394849303197	223.33636120635987	478.2919783554338
13000	-927.8426505187379	-1141.6540715015656	213.81142098282774	-1141.6540715015656	0.01495748915950513	0.3752921748912088	0.23229129168023635	0.30637978912044506	0.14794620442080494	0.2714928205727026	0.2443021327149992	0.250417866751873	0.25495605204009586	0.25032394849303197	222.89225026380694	514.7842374116783
14000	-927.3962162944022	-1140.7613051274818	213.3650888330797	-1140.7613051274818	0.01508414106012242	0.36262581305611485	0.3833812216276526	0.30637978912044506	0.14794620442080494	0.2714928205727026	0.24350342751355833	0.23858427147110303	0.2667896473208658	0.25112265369447284	222.8955750860833	412.67684615402453
15000	-920.9619623040394	-1146.218371014116	225.25640871007656	-1146.218371014116	0.009465825749356564	0.2129975881110036	0.3833812216276526	0.2580748205307357	0.1765528311270055	0.1837166140727385	0.24350342751355833	0.23858427147110303	0.2667896473208658	0.25112265369447284	233.88962010321058	447.42782068450964
16000	-912.6795101174584	-1138.53134433148	225.85183421402164	-1138.53134433148	0.011223176666734405	0.2129975881110036	0.2547309237738164	0.23398566505902077	0.11586891530571314	0.1837166140727385	0.24350342751355833	0.23858427147110303	0.2667896473208658	0.25112265369447284	233.58856200321006	491.2212005428618
17000	-911.3461699277857	-1147.7012152542836	236.3550453264979	-1147.7012152542836	0.008024711910747977	0.2129975881110036	0.3000742570675644	0.23398566505902077	0.11586891530571314	0.1837166140727385	0.24350342751355833	0.23858427147110303	0.27362280703565317	0.2442894939796855	244.24967135376028	715.5491731948415
