#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:resampled_9" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:resampled_9" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:resampled_9" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.resampled_9" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:resampled_9" name="distribution" x="@birthRate.t:resampled_9">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:resampled_9" name="distribution">
#            <parameter id="rateAC.s:resampled_9" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:resampled_9" name="distribution">
#            <parameter id="rateAG.s:resampled_9" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:resampled_9" name="distribution">
#            <parameter id="rateAT.s:resampled_9" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:resampled_9" name="distribution">
#            <parameter id="rateCG.s:resampled_9" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:resampled_9" name="distribution">
#            <parameter id="rateGT.s:resampled_9" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.4" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@resampled_9" id="treeLikelihood.resampled_9" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:resampled_9">
#            <siteModel id="SiteModel.s:resampled_9" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:resampled_9" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:resampled_9" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:resampled_9" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:resampled_9" rateAC="@rateAC.s:resampled_9" rateAG="@rateAG.s:resampled_9" rateAT="@rateAT.s:resampled_9" rateCG="@rateCG.s:resampled_9" rateGT="@rateGT.s:resampled_9" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:resampled_9" lower="0.0" name="rateCT" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:resampled_9" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:resampled_9" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:resampled_9" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:resampled_9" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-5368.471332657651	-5341.295777306303	-27.175555351348926	-5341.295777306303	2.8397160846990346	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25	-11.270855713813761	1.0
1000	-1215.7959372829027	-1350.6686039742399	134.87266669133706	-1350.6686039742399	0.04939541248439255	1.0	1.0	3.1282145186556845	1.0	0.7100418126328206	0.24617777663930707	0.25	0.25	0.25382222336069293	151.7193213937761	38.01281938803619
2000	-1032.9177139064711	-1235.9377275684992	203.02001366202805	-1235.9377275684992	0.01392636279515292	1.0	2.521442875799395	3.1282145186556845	0.6068411148617904	0.7100418126328206	0.24617777663930707	0.25	0.25	0.25382222336069293	220.3075004987039	325.0760082931975
3000	-1025.9406212581534	-1225.9953908905043	200.05476963235074	-1225.9953908905043	0.0163093490160772	1.0	1.3836031646488414	3.1282145186556845	0.7407058859406563	0.48412695792099786	0.24617777663930707	0.24359954501672235	0.25	0.26022267834397056	216.53156821865608	352.0561095652541
4000	-999.9698393628477	-1204.9761483706034	205.00630900775568	-1204.9761483706034	0.017558231300437144	0.9385077940007948	1.733229569442472	2.3636359693436413	0.3749504799840353	0.48412695792099786	0.24617777663930707	0.24359954501672235	0.25	0.26022267834397056	220.62212858140106	317.93878578481826
5000	-992.9632584563205	-1205.1425262601726	212.17926780385204	-1205.1425262601726	0.015742493078582356	0.9385077940007948	1.156172025326163	2.3636359693436413	0.334498058294998	0.4991352969230662	0.24617777663930707	0.24359954501672235	0.25	0.26022267834397056	227.29961055348778	411.09860914052587
6000	-981.1475560543173	-1184.2720592455767	203.12450319125932	-1184.2720592455767	0.01460028230879633	0.9385077940007948	0.9728881233117865	2.3636359693436413	0.23337206056184198	0.3487175136319273	0.24617777663930707	0.24869596688251366	0.25	0.2551262564781792	217.3638751695837	386.52451916809616
7000	-968.2422330179209	-1175.9634396776423	207.72120665972145	-1175.9634396776423	0.012330579947032887	0.9385077940007948	0.9728881233117865	1.099249610297709	0.23337206056184198	0.3487175136319273	0.22848979320157592	0.25766951140920524	0.2575008994459281	0.2563397959432907	221.10684534448873	370.74096375059315
8000	-961.1564579901897	-1172.6768851756096	211.52042718542	-1172.6768851756096	0.00973485390090694	0.9385077940007948	1.2509683716182094	0.5159912964651849	0.2547784556198444	0.1648596828607112	0.228485606725637	0.26143958498136083	0.2537350123497114	0.2563397959432907	223.7374175790442	608.4403007965245
9000	-934.8934099197195	-1155.6693057668863	220.77589584716685	-1155.6693057668863	0.012953110552381969	0.9647332929428531	1.2509683716182094	0.5159912964651849	0.2547784556198444	0.30216346902178776	0.22645879464251562	0.26758817700006415	0.2537350123497114	0.25221801600770877	233.61100144642768	463.98662279751755
10000	-929.6953054655269	-1137.5922432559703	207.89693779044347	-1137.5922432559703	0.017723778038855127	0.8773454183370718	1.3678650263244014	0.5159912964651849	0.2547784556198444	0.30216346902178776	0.22645879464251562	0.26758817700006415	0.2537350123497114	0.25221801600770877	220.72381261645754	346.26902872209376
11000	-924.6853284669724	-1132.6173296224629	207.9320011554905	-1132.6173296224629	0.019325537883560808	0.9565370685193701	0.9508239745950621	0.6924433220367125	0.2547784556198444	0.30216346902178776	0.2213391857510121	0.281514377475506	0.2537350123497114	0.24341142442377048	220.7796221849631	337.88772665387427
12000	-919.513139729217	-1144.2281132392877	224.71497351007073	-1144.2281132392877	0.009930923518885148	1.388397887477711	0.9508239745950621	0.6924433220367125	0.34200261158710826	0.14759105186217428	0.22133585813433646	0.28252399463013556	0.2537350123497114	0.2424051348858166	237.55200878180096	497.78354595548274
13000	-917.8571417389052	-1140.6170560202795	222.75991428137434	-1140.6170560202795	0.011393707701679075	1.624542136288498	0.9508239745950621	0.7950292257823772	0.34200261158710826	0.13225875682057758	0.22133585813433646	0.28252399463013556	0.2537350123497114	0.2424051348858166	235.8055552018102	454.1607993272539
14000	-918.1200583664811	-1136.4425162070493	218.32245784056815	-1136.4425162070493	0.014209741027096283	1.624542136288498	0.9508239745950621	0.37343983051899204	0.14832147962467201	0.18355499495286967	0.22133585813433646	0.28252399463013556	0.24843974619336281	0.2477004010421652	230.1115623075332	424.1352002272073
15000	-926.8653968674162	-1138.4107433968695	211.5453465294534	-1138.4107433968695	0.014019618219177016	1.624542136288498	0.9508239745950621	0.28169619308672494	0.14832147962467201	0.18355499495286967	0.22133585813433646	0.28252399463013556	0.24843974619336281	0.2477004010421652	223.0574452848633	424.25948623736264
16000	-916.3595230736296	-1137.5154801874958	221.15595711386618	-1137.5154801874958	0.013886574092760532	1.624542136288498	0.9508239745950621	0.20755961693782227	0.14832147962467201	0.18189122491894158	0.22133585813433646	0.2901540173946437	0.24843974619336281	0.2400703782776571	232.36168560496156	515.4195335615458
17000	-922.4360424531776	-1131.8321092364333	209.39606678325566	-1131.8321092364333	0.018329098810406615	1.5278965199895214	0.560783080655382	0.20755961693782227	0.14832147962467201	0.09965822621133374	0.22133585813433646	0.2901540173946437	0.24843974619336281	0.2400703782776571	219.43296384044913	339.1793975234553
