#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:resampled_4" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:resampled_4" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:resampled_4" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.resampled_4" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:resampled_4" name="distribution" x="@birthRate.t:resampled_4">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:resampled_4" name="distribution">
#            <parameter id="rateAC.s:resampled_4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:resampled_4" name="distribution">
#            <parameter id="rateAG.s:resampled_4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:resampled_4" name="distribution">
#            <parameter id="rateAT.s:resampled_4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:resampled_4" name="distribution">
#            <parameter id="rateCG.s:resampled_4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:resampled_4" name="distribution">
#            <parameter id="rateGT.s:resampled_4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.4" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@resampled_4" id="treeLikelihood.resampled_4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:resampled_4">
#            <siteModel id="SiteModel.s:resampled_4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:resampled_4" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:resampled_4" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:resampled_4" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:resampled_4" rateAC="@rateAC.s:resampled_4" rateAG="@rateAG.s:resampled_4" rateAT="@rateAT.s:resampled_4" rateCG="@rateCG.s:resampled_4" rateGT="@rateGT.s:resampled_4" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:resampled_4" lower="0.0" name="rateCT" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:resampled_4" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:resampled_4" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:resampled_4" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:resampled_4" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-4909.533634981998	-4885.854351595938	-23.67928338606024	-4885.854351595938	1.3317470714671507	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25	-7.774583748525076	1.0
1000	-1106.5437126756574	-1264.447771699371	157.90405902371373	-1264.447771699371	0.018435499113125246	1.9054766628997055	1.3012361961919054	1.0	1.0	0.9618482261705658	0.25	0.25	0.25	0.25	174.73624386110143	64.62354854512304
2000	-986.2159573568908	-1190.3459451600522	204.1299878031614	-1190.3459451600522	0.01344670707355412	1.4815964411950735	1.5462622155438328	1.0	1.0	0.9618482261705658	0.25	0.25	0.25	0.25	220.85690403020732	301.7204033083229
3000	-943.4773503289275	-1162.7970005214402	219.31965019251265	-1162.7970005214402	0.009555401498078103	1.4815964411950735	1.5251698345176214	1.0	1.0	0.9618482261705658	0.25	0.24688048755960304	0.25465141541122205	0.24846809702917494	236.0324637651624	485.72029842152824
4000	-935.5036296430344	-1147.8690016305175	212.36537198748312	-1147.8690016305175	0.011933521290378517	0.8210300690391169	1.5251698345176214	0.676046617894387	1.0	0.9618482261705658	0.24992589201337195	0.24688048755960304	0.26721565933464525	0.2359779610923798	228.04701506116854	501.1192777659163
5000	-932.966301496893	-1145.8325495739182	212.8662480770252	-1145.8325495739182	0.01523705722173071	0.8210300690391169	1.2920608660982866	0.676046617894387	1.0	0.9618482261705658	0.24992589201337195	0.24688048755960304	0.26721565933464525	0.2359779610923798	228.37866180859436	507.98745812854474
6000	-929.5542290655991	-1150.1279021964972	220.57367313089813	-1150.1279021964972	0.006822901297026348	0.8210300690391169	1.2920608660982866	0.676046617894387	1.0	1.0723428257730327	0.24992589201337195	0.23745537986614282	0.27664076702810547	0.2359779610923798	236.20044352285404	402.135542527578
7000	-917.7954960174833	-1139.9076321333182	222.11213611583491	-1139.9076321333182	0.01022677676052374	0.9558301029423667	1.2403202645010996	0.5258137711005807	0.9529242009487487	0.6900573165343944	0.24992589201337195	0.23908032996115575	0.27664076702810547	0.23435301099736688	237.09409083124615	419.04960043147673
8000	-915.5020797159099	-1134.287708663887	218.78562894797722	-1134.287708663887	0.013820839093574492	0.9558301029423667	0.7905510805267459	0.38977540953024786	0.9529242009487487	0.4135097091453973	0.24992589201337195	0.23908032996115575	0.27664076702810547	0.23435301099736688	232.50506514231745	525.106648568348
9000	-901.2049320430967	-1119.586410558155	218.38147851505823	-1119.586410558155	0.01224956222842366	1.177352777434587	0.7262907038998048	0.38977540953024786	0.9605929046084863	0.40210910637551656	0.23992725805707413	0.23908032996115575	0.27664076702810547	0.2443516449536647	232.21801618744277	457.4056648150852
10000	-877.0774395385076	-1105.650980272857	228.57354073434928	-1105.650980272857	0.01156038792307098	0.691640502661659	0.8318923849023034	0.418425460442111	0.24252036082936523	0.40210910637551656	0.23992725805707413	0.23908032996115575	0.27664076702810547	0.2443516449536647	240.68119038993973	513.5105666819683
11000	-874.1190008985841	-1106.202014932139	232.083014033555	-1106.202014932139	0.009133150374619156	0.691640502661659	0.7267326783769816	0.44460062790626664	0.12466007324533555	0.282810366807692	0.23992725805707413	0.2374758492526864	0.27664076702810547	0.24595612566213407	243.12699409913162	733.1280401477568
12000	-886.7782722888073	-1102.6437767010668	215.86550441225947	-1102.6437767010668	0.011948728992889074	0.691640502661659	0.6370939486261066	0.44460062790626664	0.12466007324533555	0.16585723822103193	0.22208406005847708	0.25071554355845244	0.28162528496395944	0.24557511141911106	226.26128100887075	415.84135869496976
13000	-887.7324232240586	-1105.8857624416619	218.15333921760325	-1105.8857624416619	0.01063313459340707	1.0105826067645776	0.4274838305154212	0.3886072190687111	0.0555526083802478	0.3117356736741816	0.21230049092197192	0.25071554355845244	0.28162528496395944	0.2553586805556162	228.25756454390682	375.08639475998035
14000	-894.051728990107	-1112.9633294213334	218.9116004312264	-1112.9633294213334	0.009667031613871014	0.6117748779495212	0.31944286664759736	0.3886072190687111	0.03492603919722601	0.45681981102124025	0.21230049092197192	0.25071554355845244	0.28213243242755803	0.25485153309201763	228.15152935667194	390.0094761837308
15000	-872.9208104580623	-1107.542249861577	234.62143940351456	-1107.542249861577	0.008068451922242818	0.39508412938030235	0.31944286664759736	0.3886072190687111	0.03492603919722601	0.2591884999988808	0.20924425956888662	0.24381521648696255	0.2907768394108411	0.25616368453330973	242.86613700584707	603.2063262705757
16000	-869.8598182074643	-1103.9091383714856	234.04932016402128	-1103.9091383714856	0.007557046573734013	0.3204551095196047	0.3303769297390985	0.2451594765786829	0.030080911227318635	0.12382968907403902	0.20924425956888662	0.2511342822907881	0.2834577736070155	0.25616368453330973	240.81060270619562	667.9912401801215
17000	-875.8139536235842	-1096.3644849779864	220.5505313544022	-1096.3644849779864	0.014547692263261804	0.1667087884753876	0.36698624435890165	0.2451594765786829	0.030080911227318635	0.12382968907403902	0.20924425956888662	0.2511342822907881	0.2834577736070155	0.25616368453330973	226.777286365401	339.7822707184961
