"statistic","percentage_matches","percentage_matches_excl_single_samples","percentage_single_sample_GMYC_species","oversplitting_ratio","oversplitting_ratio_excl_single_sample_spp"
"Average",79.94,35.5,66.52,1.07,0.34
"Standard deviation",6.71,15.11,12.86,0.16,0.12
"Minimum",71.43,0,53.85,0.93,0.07
"Maximum",95.24,50,95.24,1.5,0.43
