"predefined_group","mean","sd","min","max"
"Tetramesa sp. 1",2.5,0.97182531580755,2,5
"Tetramesa sp. 4",2.77777777777778,0.97182531580755,2,4
"Tetramesa sp. 7",2,0,2,2
