,25,50,75,100
resampled_1.nex,15,22,17,18
resampled_2.nex,14,18,25,18
resampled_3.nex,13,18,24,18
resampled_4.nex,14,19,25,18
resampled_5.nex,13,26,20,18
resampled_6.nex,14,17,22,18
resampled_7.nex,21,19,17,18
resampled_8.nex,15,17,19,18
resampled_9.nex,15,24,17,18
resampled_10.nex,16,17,18,18
