,25,50,75,100
resampled_1.nex,40,69.23,64.29,66.67
resampled_2.nex,50,72.73,71.43,66.67
resampled_3.nex,40,44.44,75,66.67
resampled_4.nex,33.33,72.73,75,66.67
resampled_5.nex,50,66.67,69.23,66.67
resampled_6.nex,33.33,70,78.57,66.67
resampled_7.nex,0,80,63.64,66.67
resampled_8.nex,50,66.67,66.67,66.67
resampled_9.nex,33.33,80,66.67,66.67
resampled_10.nex,25,50,71.43,66.67
