,25,50,75,100
resampled_1.nex,5,13,14,15
resampled_2.nex,6,11,14,15
resampled_3.nex,5,9,12,15
resampled_4.nex,3,11,16,15
resampled_5.nex,6,12,13,15
resampled_6.nex,6,10,14,15
resampled_7.nex,1,10,11,15
resampled_8.nex,6,9,12,15
resampled_9.nex,6,10,15,15
resampled_10.nex,4,10,14,15
