,25,50,75,100
resampled_1.nex,66.67,40.91,17.65,16.67
resampled_2.nex,57.14,38.89,44,16.67
resampled_3.nex,61.54,50,50,16.67
resampled_4.nex,78.57,42.11,36,16.67
resampled_5.nex,53.85,53.85,35,16.67
resampled_6.nex,57.14,41.18,36.36,16.67
resampled_7.nex,95.24,47.37,35.29,16.67
resampled_8.nex,60,47.06,36.84,16.67
resampled_9.nex,60,58.33,11.76,16.67
resampled_10.nex,75,41.18,22.22,16.67
