,25,50,75,100
resampled_1.nex,1.07,1.57,1.21,1.29
resampled_2.nex,1,1.29,1.79,1.29
resampled_3.nex,0.93,1.29,1.71,1.29
resampled_4.nex,1,1.36,1.79,1.29
resampled_5.nex,0.93,1.86,1.43,1.29
resampled_6.nex,1,1.21,1.57,1.29
resampled_7.nex,1.5,1.36,1.21,1.29
resampled_8.nex,1.07,1.21,1.36,1.29
resampled_9.nex,1.07,1.71,1.21,1.29
resampled_10.nex,1.14,1.21,1.29,1.29
