"statistic","percentage_matches","percentage_matches_excl_single_samples","percentage_single_sample_GMYC_species","oversplitting_ratio","oversplitting_ratio_excl_single_sample_spp"
"Average",72.22,66.67,16.67,1.29,1.07
"Standard deviation",0,0,0,0,0
"Minimum",72.22,66.67,16.67,1.29,1.07
"Maximum",72.22,66.67,16.67,1.29,1.07
