,25,50,75,100
resampled_1.nex,0.36,0.93,1,1.07
resampled_2.nex,0.43,0.79,1,1.07
resampled_3.nex,0.36,0.64,0.86,1.07
resampled_4.nex,0.21,0.79,1.14,1.07
resampled_5.nex,0.43,0.86,0.93,1.07
resampled_6.nex,0.43,0.71,1,1.07
resampled_7.nex,0.07,0.71,0.79,1.07
resampled_8.nex,0.43,0.64,0.86,1.07
resampled_9.nex,0.43,0.71,1.07,1.07
resampled_10.nex,0.29,0.71,1,1.07
