,25,50,75,100
resampled_1.nex,80,81.82,70.59,72.22
resampled_2.nex,78.57,83.33,84,72.22
resampled_3.nex,76.92,72.22,87.5,72.22
resampled_4.nex,85.71,84.21,84,72.22
resampled_5.nex,76.92,84.62,80,72.22
resampled_6.nex,71.43,82.35,86.36,72.22
resampled_7.nex,95.24,89.47,76.47,72.22
resampled_8.nex,80,82.35,78.95,72.22
resampled_9.nex,73.33,91.67,70.59,72.22
resampled_10.nex,81.25,70.59,77.78,72.22
