"filename","clusters","entities"
"resampled_1.nex",14,17
"resampled_2.nex",14,25
"resampled_3.nex",12,24
"resampled_4.nex",16,25
"resampled_5.nex",13,20
"resampled_6.nex",14,22
"resampled_7.nex",11,17
"resampled_8.nex",12,19
"resampled_9.nex",15,17
"resampled_10.nex",14,18
