"statistic","percentage_matches","percentage_matches_excl_single_samples","percentage_single_sample_GMYC_species","oversplitting_ratio","oversplitting_ratio_excl_single_sample_spp"
"Average",79.62,70.19,32.51,1.46,0.96
"Standard deviation",5.99,4.98,11.81,0.24,0.11
"Minimum",70.59,63.64,11.76,1.21,0.79
"Maximum",87.5,78.57,50,1.79,1.14
