"filename","clusters","entities"
"resampled_1.nex",5,15
"resampled_2.nex",6,14
"resampled_3.nex",5,13
"resampled_4.nex",3,14
"resampled_5.nex",6,13
"resampled_6.nex",6,14
"resampled_7.nex",1,21
"resampled_8.nex",6,15
"resampled_9.nex",6,15
"resampled_10.nex",4,16
