"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"curvula_province",0.0140593212867574,0.00468644042891915,3,"0.000506801018161137","0.0114988501149885","6.99099099099099"
"Error",0.037732169532076,0.00114339907672958,33,"0.00114339907672958",NA,""
"Total",0.0517914908188335,0.00143865252274537,36,"","",""
